Judge Name,Number of Cases,Notable Patterns
BRIAN MOONEY,288,
N/A,155,
ASHLEY KILBANE,274,
TIMOTHY MCCORMICK,307,
SHANNON M GALLAGHER,277,
JENNIFER O'DONNELL,336,
JOHN J RUSSO,259,
ANDREW J. SANTOLI,262,
NANCY MARGARET RUSSO,239,
KELLY ANN GALLAGHER,263,
MAUREEN CLANCY,235,
JEFFREY P SAFFOLD,413,
TIMOTHY W. CLARY,55,
KATHLEEN ANN SUTULA,84,
ARRAIGNMENT ROOM,1720,
DANIEL GAUL,118,
HOLLIE L GALLAGHER,264,
JOHN D SUTULA,105,
WILLIAM T MCGINTY,101,
CASSANDRA COLLIER-WILLIAMS,311,
WILLIAM F. B. VODREY,258,
SHERRIE MIDAY,277,
MICHAEL P SHAUGHNESSY,334,
PETER J CORRIGAN,260,
JOY KENNEDY,163,
RICHARD A BELL,244,
JOAN SYNENBERG,259,
EMILY HAGAN,344,
SHIRLEY STRICKLAND SAFFOLD,84,
KEVIN J KELLEY,296,
DAVID T MATIA,174,
LAUREN C MOORE,174,
STEVEN E GALL,272,
MICHAEL J RUSSO,33,
JOHN P O'DONNELL,261,
DEBORAH M TURNER,273,
CARL J MAZZONE,161,
MOLLIE ANN MURPHY,203,
BRENDAN J SHEEHAN,71,
DEENA R CALABRESE,83,
NANCY A FUERST,271,
DIVERSION PROGRAM,78,
JOHN J SPELLACY,132,
ANTONIO S NICHOLSON,105,
KIRA KRIVOSH,183,
JANET R BURNSIDE,2,
VJ WILLIAM T MCGINTY,38,
REEVE KELSEY,1,
