file_path,match_count,case_number,year
out/2023/2023-677533_20251116_095433.json,3,CR-23-677533-A,2023
out/2023/2023-678035_20251116_144530.json,3,CR-23-678035-A,2023
out/2023/2023-678818_20251116_205315.json,3,CR-23-678818-A,2023
out/2023/2023-679113_20251116_082028.json,3,CR-23-679113-A,2023
out/2023/2023-679695_20251116_074033.json,2,CR-23-679695-A,2023
out/2023/2023-680502_20251116_083200.json,2,CR-23-680502-A,2023
out/2023/2023-681163_20251116_081908.json,3,CR-23-681163-A,2023
out/2023/2023-681734_20251116_081425.json,3,CR-23-681734-A,2023
out/2023/2023-681809_20251116_082510.json,3,CR-23-681809-A,2023
out/2023/2023-681966_20251117_133053.json,3,CR-23-681966-A,2023
out/2023/2023-683934_20251118_144342.json,4,CR-23-683934-A,2023
out/2023/2023-684285_20251116_074221.json,3,CR-23-684285-A,2023
out/2023/2023-684826_20251227_041831.json,2,CR-23-684826-A,2023
out/2023/2023-684826_20260101_124157.json,2,CR-23-684826-A,2023
out/2023/2023-685251_20251116_084132.json,2,CR-23-685251-A,2023
out/2024/2024-688122_20251119_031242.json,3,CR-24-688122-A,2024
out/2024/2024-698087_20251120_055446.json,2,CR-24-698087-A,2024
out/2025/2025-698424_20251120_070406.json,6,CR-25-698424-A,2025
out/2025/2025-699852_20251120_122318.json,4,CR-25-699852-A,2025
out/2025/2025-700233_20251120_134248.json,3,CR-25-700233-A,2025
out/2025/2025-700779_20251120_154444.json,2,CR-25-700779-A,2025
out/2025/2025-700810_20251120_155031.json,3,CR-25-700810-A,2025
out/capias_matches_allcaps.csv,4,CR-23-680290-A,2023
out/capias_matches_allcaps.csv.bak.20260216160833,5,CR-23-680290-A,2023
out/capias_matches_allcaps.csv.bak.20260216212509,5,CR-23-680290-A,2023
out/capias_matches_allcaps.csv.dedup.csv,4,CR-23-680290-A,2023
out/jasmine_jackson_cases_2023_2025.csv,1,CR-25-705153-A,2025
out/jasmine_jackson_cases_2023_2025.csv.bak.20260216212512,2,CR-25-705153-A,2025
out/jasmine_jackson_cases_2023_2025.csv.dedup.csv,1,CR-25-705153-A,2025
out/jasmine_jackson_prosecutor_cases.csv,1,CR-24-688722-A,2024
out/jasmine_jackson_prosecutor_cases.csv.bak.20260216212511,2,CR-24-688722-A,2024
out/jasmine_jackson_prosecutor_cases.csv.dedup.csv,1,CR-24-688722-A,2024
out/lori_klodnik_and_jasmine_jackson_cases.csv,9,,
out/lori_klodnik_and_jasmine_jackson_cases.csv.bak.20260216160833,8605,,
out/lori_klodnik_and_jasmine_jackson_cases.csv.bak.20260216212511,8605,,
out/lori_klodnik_and_jasmine_jackson_cases.csv.dedup.csv,9,,
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_121024.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_121405.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_122043.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251115_125347.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_021410.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_053214.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_053913.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_054025.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251116_204241.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103001.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103207.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251117_103402.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251128_091158.json,3,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251219_053849.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130005.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130126.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130248.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130409.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_130532.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_164149.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_172438.json,2,CR-23-684826-A,2023
out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2023/2023-684826_20251226_172751.json,2,CR-23-684826-A,2023
out/obstructing_cases/out/2023/2023-683934_20251118_144342.json,4,CR-23-683934-A,2023
out/obstructing_cases/out/2023/2023-684826_20251227_041831.json,2,CR-23-684826-A,2023
out/obstructing_cases/out/2023/2023-684826_20260101_124157.json,2,CR-23-684826-A,2023
